case	op	operand	verts	tris	clean	introduced	nonmanifold_edges	nonmanifold_verts	boundary_edges	misoriented_pairs	improper_pairs	unresolved_pairs	duplicate_tris	index_degenerate	collinear_degenerate	vertex_twins	unreferenced_verts
F0067	104_union	a	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	104_union	b	20	36	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	105_union	a	40	76	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	105_union	b	31	58	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	106_union	a	1208	2412	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	106_union	b	4036	8068	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	107_union	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	107_union	b	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	108_union	a	53	102	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	108_union	b	13	22	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	109_union	a	88	172	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	109_union	b	27	50	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	110_union	a	79	154	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	110_union	b	37	70	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	111_union	a	306	608	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	111_union	b	1298	2592	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	112_union	a	1254	2504	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	112_union	b	1171	2338	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	113_union	a	2005	4006	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	113_union	b	1224	2444	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	114_union	a	2985	5966	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	114_union	b	1621	3238	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	115_union	a	1567	3130	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	115_union	b	26	48	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	116_union	a	1584	3169	false	false	9/9	1/1	6/6	0/0	1/1	0/0	0/0	0/0	0/0	0/0	0/0
F0068	116_union	b	30	56	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	117_union	a	34	64	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0068	117_union	b	38	72	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	118_union	a	2104	4204	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	118_union	b	2117	4230	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	119_union	a	1211	2418	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	119_union	b	20	36	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	120_union	a	1214	2424	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	120_union	b	38	72	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	121_union	a	1247	2490	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	121_union	b	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	122_union	a	1254	2504	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	122_union	b	35	66	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	123_union	a	1285	2568	false	false	4/4	0/0	2/2	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	123_union	b	20	36	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	124_union	a	1290	2579	false	false	6/6	0/0	3/3	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	124_union	b	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	125_union	a	2669	5338	false	false	7/7	0/0	3/3	0/0	1/1	0/0	0/0	0/0	0/0	0/0	0/0
F0069	125_union	b	1933	3862	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	126_union	a	49	94	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	126_union	b	74	144	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	127_union	a	67	130	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	127_union	b	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	128_union	a	67	130	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	128_union	b	27	50	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	129_union	a	98	192	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	129_union	b	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	130_union	a	105	206	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0069	130_union	b	38	72	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	131_union	a	1254	2504	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	131_union	b	1522	3040	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	132_union	a	524	1044	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	132_union	b	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	133_union	a	530	1056	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	133_union	b	26	48	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	134_union	a	598	1192	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0070	134_union	b	49	94	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
